246: CAG-0.001064191427193462
247: SVQ-0.0010638617122264436
248: MFM-0.0010565402000920325
249: NGB-0.0010560420630821156
250: KHN-0.00105588573799476
251: SCL-0.0010471375964533254
252: FUK-0.0010319828631223705
253: KHH-0.0010293741611041769
254: HAK-0.0010287603318773716
255: YEG-0.001028325783147505
256: DWC-0.0010266773734424538
257: CCS-0.0010265608829856776
258: MAA-0.0010262797827167403
259: PIT-0.0010235471460005561
260: NAS-0.0010184773571528603
261: CCU-0.0010154559525026958
262: SPU-0.0010089863532162843
263: CTS-0.001004741093888705
264: HET-0.0010027881795793116
265: PUS-9.974354723598024E-4
266: DMK-9.966539668095412E-4
267: ISB-9.924362537940582E-4
268: RYG-9.840249528249845E-4
269: BIO-9.821417964162315E-4
270: KHI-9.816652308899784E-4
271: SVG-9.792520173604E-4
272: HFE-9.724672675437123E-4
273: IND-9.710190801858597E-4
274: SAT-9.664717023208022E-4
275: LCY-9.617837189974335E-4
276: MHD-9.607723456617814E-4
277: TSE-9.580849914397884E-4
278: KEF-9.459352354848126E-4
279: SJW-9.45590800345458E-4
280: KRR-9.344917236942869E-4
281: EVN-9.324023285669866E-4
282: YHZ-9.283963673501281E-4
283: LIN-9.282129018439335E-4
284: OAK-9.223351939919831E-4
285: LHW-9.185745882149333E-4
286: RSW-9.178762863154445E-4
287: WNZ-9.163347526862469E-4
288: CNF-9.159669190913298E-4
289: LAD-9.153361837904324E-4
290: GOT-8.968608210497187E-4
291: OLB-8.950656768050171E-4
292: CMH-8.884673035605701E-4
293: MTY-8.856549753668081E-4
294: LHE-8.835082601556161E-4
295: NYO-8.725550301558598E-4
296: DYU-8.716812693202657E-4
297: AHO-8.709202979724513E-4
298: WRO-8.673823333637298E-4
299: OKA-8.671020389575011E-4
300: SXM-8.658012891032165E-4
301: MEM-8.652539012094772E-4
302: SJO-8.647020967230293E-4
303: AZA-8.633090831363926E-4
304: CJU-8.632721620730048E-4
305: PIE-8.626523383042378E-4
306: SAL-8.626138930730994E-4
307: HKT-8.606344370370371E-4
308: TIJ-8.566765350685701E-4
309: NUE-8.455172297849136E-4
310: SJC-8.410256661020047E-4
311: TRD-8.406992832179721E-4
312: KGS-8.406573928915754E-4
313: FNC-8.404641167151826E-4
314: TRF-8.399081873060111E-4
315: ORK-8.38348982389034E-4
316: MKE-8.347894048307861E-4
317: ZUH-8.344706975964794E-4
318: INC-8.34461540921393E-4
319: PER-8.307597421402175E-4
320: HYD-8.27877137791706E-4
321: POM-8.211084467570059E-4
322: AEP-8.150410552804656E-4
323: TRN-8.139628332334588E-4
324: DKR-8.135381992800052E-4
325: RTM-8.119210152415611E-4
326: SMF-8.115939146834333E-4
327: JER-8.113237203653559E-4
328: ABZ-8.108415370640749E-4
329: CGQ-8.07275015191635E-4
330: LIL-8.039639684181089E-4
331: BKI-8.013655667960612E-4
332: DTM-8.001026126208941E-4
333: HAV-7.987212215048438E-4
334: KJA-7.844480649262741E-4
335: SDQ-7.82568733774641E-4
336: TPS-7.825109790048802E-4
337: DLM-7.803012614854188E-4
338: DAC-7.794455744519969E-4
339: LJG-7.762108494099957E-4
340: GEA-7.60986746147504E-4
341: LEJ-7.605553725333731E-4
342: ZAG-7.562508132387225E-4
343: TLL-7.561375449444822E-4
344: KTW-7.549851547526157E-4
345: BFS-7.539055680444789E-4
346: CEB-7.482951181903444E-4
347: MBJ-7.465467790984878E-4
348: FLR-7.316647176658274E-4
349: WMI-7.28773706769909E-4
350: YOW-7.282862941530571E-4
351: SXB-7.27565804191842E-4
352: SNN-7.274083192489289E-4
353: RGN-7.235282582667835E-4
354: CGH-7.226248949840458E-4
355: BDL-7.21512750739802E-4
356: PPT-7.21212663244005E-4
357: JAX-7.198194522344769E-4
358: SSA-7.189695498594884E-4
359: ANC-7.141171593696834E-4
360: THR-7.133898846618779E-4
361: MLE-7.110577058696783E-4
362: SUB-7.048798132761249E-4
363: KIV-7.034114985000899E-4
364: TBS-7.023294508981219E-4
365: MAH-7.013148588646396E-4
366: PFO-7.011272291101868E-4
367: MYR-7.003216796064689E-4
368: AJA-6.999194925177222E-4
369: HRG-6.995772547725226E-4
370: AUA-6.962205837938495E-4
371: NBE-6.954317103306329E-4
372: SYZ-6.894299398801804E-4
373: IKT-6.76408400474755E-4
374: POA-6.726379758595424E-4
375: ZAD-6.714027376934324E-4
376: ACC-6.713368276011333E-4
377: CNS-6.674387295293768E-4
378: SWA-6.667757309856188E-4
379: CNX-6.651450159937732E-4
380: CHC-6.616080352599673E-4
381: YWG-6.509676578923605E-4
382: SKP-6.500344039285333E-4
383: CWB-6.470859128013131E-4
384: WLG-6.46568104773629E-4
385: SOU-6.449826886860605E-4
386: KTM-6.41244891984093E-4
387: RMQ-6.399504323632029E-4
388: DJE-6.398453970886837E-4
389: PBI-6.397315605593021E-4
390: SDF-6.39655640680965E-4
391: YNT-6.396046414816756E-4
392: BIA-6.373355130043359E-4
393: FRU-6.222153471465038E-4
394: ROV-6.215873907113999E-4
